Property Flag,% of Initial Pool Balance,2nd Largest Tenant,2nd Largest Tenant % of NSF,2nd Largest Tenant Lease Expiration(4),2nd Largest Tenant NSF,3rd Largest Tenant,3rd Largest Tenant % of NSF,3rd Largest Tenant Lease Expiration(4),3rd Largest Tenant NSF,4th Largest Tenant,4th Largest Tenant % of NSF,4th Largest Tenant Lease Expiration(4),4th Largest Tenant NSF,5th Largest Tenant,5th Largest Tenant % of NSF,5th Largest Tenant Lease Expiration(4),5th Largest Tenant NSF,ARD (Yes/No),ARD Loan Final Maturity Date,Address,Administrative Fee Rate(3) %,Annual Debt Service (IO) $,Annual Debt Service (PI) $,Appraisal Report Date,Appraised Value $,Appraised Value As-of Date,Asset Representations Reviewer Fee Rate %,CREFC Fee Rate %,Cash Management Status,City,Coop - Coop Units,Coop - Investor Units,Coop - LTV as Rental %,Coop - Rental Value $,Coop - Sponsor Units,Coop - Sponsor/ Investor Carry $,Coop - Unsold Percent %,County,Crossed With Other Loans,Cut-Off Date LTV Ratio %,Cut-off Date Balance $,Cut-off Date Balance per SF/ Units/Rooms $,Cut-off Date Mezzanine Debt Balance $,Cut-off Date Pari Passu Mortgage Debt Balance $,Cut-off Date Subord. Mortgage Debt Balance $,Detailed Property Type,Due Date,Engineering Report Date,Environmental Phase I Report Date,First PI Payment Date (Partial IO Loans),First Payment Date,Footnotes,General Property Type,Grace Period to Default (Days),Grace Period to Late Charge (Days),Ground Lease Initial Lease Expiration Date,Hotel Franchise Agreement Expiration Date,Initial Other Reserves $,Interest Accrual Basis,Largest Tenant,Largest Tenant % of NSF,Largest Tenant Lease Expiration(4),Largest Tenant NSF,Loan ID,Loan Purpose,Lockbox Type,Master Servicing Fee Rate %,Maturity Date,Maturity Date LTV Ratio %,Maturity/ARD Balance $,Monthly Debt Service (IO) $,Monthly Debt Service (PI) $,Monthly Insurance Reserves $,Monthly Replacement Reserves $,Monthly TI/LC Reserves $,Monthly Tax Reserves $,Mortgage Loan Originator(1),Mortgage Loan Seller(1),Mortgage Rate %,Most Recent Expenses $,Most Recent NOI $,Most Recent NOI Date,Most Recent NOI Debt Yield %,Most Recent Revenues $,No. of Properties,Non-Recourse Carveout Guarantor,Note Date,Occupancy Rate As-of Date,Occupancy Rate(2) %,Ongoing Other Reserves $,Original Amortization Term (mos.),Original Balance $,Original Interest-Only Period (mos.),Original Term to Maturity (mos.),Other Reserves Description,PML %,Pari Passu Loan Primary Servicing Fee Rate %,Prepayment Provisions (No. of Payments),Primary Servicing Fee Rate %,Property Name,Related-Borrower Loans,Remaining Amortization Term (mos.),Remaining Interest-Only Period (mos.),Remaining Term to Maturity (mos.),Replacement Reserve Cap $,Seasoning (mos.),Second Most Recent Expenses $,Second Most Recent NOI $,Second Most Recent NOI Date,Second Most Recent NOI Debt Yield %,Second Most Recent Revenues $,Seismic Report Date,Seismic Zone (Y/N),Size,Sponsor,State,TI/LC Reserve Cap $,Third Most Recent Expenses $,Third Most Recent NOI $,Third Most Recent NOI Date,Third Most Recent NOI Debt Yield %,Third Most Recent Revenues $,Title Type,Total Debt Cut-off Date LTV Ratio %,Total Debt UW NCF DSCR,Total Debt UW NOI Debt Yield %,Total Mortgage Debt Cut-off Date LTV Ratio %,Total Mortgage Debt UW NCF DSCR,Total Mortgage Debt UW NOI Debt Yield %,Trust Advisor Fee Rate %,Trustee Fee Rate %,UW NCF DSCR (IO),UW NCF DSCR (PI),UW NOI DSCR (IO),UW NOI DSCR (PI),Underwritten Effective Gross Income $,Underwritten NCF $,Underwritten NCF Debt Yield %,Underwritten NOI $,Underwritten NOI Debt Yield %,Underwritten Occupancy Rate %,Underwritten Replacement Reserves $,Underwritten TI/LC $,Underwritten Total Expenses $,Units of Measure,Upfront Deferred Maint. Reserve $,Upfront Insurance Reserves $,Upfront Replacement Reserves $,Upfront TI/LC Reserves $,Upfront Tax Reserves $,YM Formula,Year Built,Year Renovated,Zip Code
Property,0.9,,,,,,,,,,,,,,,,,,,2549 and 2555 Center West Parkway,,,,10-1-2019,"11,900,000",20-11-2018,,,,Augusta,,,,,,,,Richmond,,,"8,026,925",,,,,Garden,,12-12-2018,4-12-2018,,,,Multifamily,,,,,,,,,,,7.01,,,,,,"7,007,015",,,,,,,CCRE,CCRE,,"528,616","782,653",30-11-2018 TTM,,"1,311,269",,,,28-12-2018,94.1,,,"8,026,925",,,,,,,,Ramblewood - Augusta,,,,,,,"515,822","729,417",31-12-2017,,"1,245,239",,No,186.0,,GA,,"485,753","757,570",31-12-2016,,"1,243,323",Fee,,,,,,,,,,,,,"1,302,730","723,482",,"772,913",,87.6,"49,432",0,"529,817",Units,,,,,,,1984,2017,30909.0
Property,0.7,,,,,,,,,,,,,,,,,,,5549 Rosewood Commons Drive,,,,9-1-2019,"7,870,000",21-11-2018,,,,Indianapolis,,,,,,,,Marion,,,"6,523,753",,,,,Garden,,27-11-2018,6-12-2018,,,,Multifamily,,,,,,,,,,,7.02,,,,,,"5,694,837",,,,,,,CCRE,CCRE,,"552,550","613,529",30-11-2018 TTM,,"1,166,079",,,,28-12-2018,90.1,,,"6,523,753",,,,,,,,Rosewood Commons,,,,,,,"521,772","593,350",31-12-2017,,"1,115,122",,No,172.0,,IN,,"551,779","525,301",31-12-2016,,"1,077,080",Fee,,,,,,,,,,,,,"1,187,622","587,998",,"633,709",,84.7,"45,711",0,"553,913",Units,,,,,,,1985,2017,46254.0
Property,0.7,,,,,,,,,,,,,,,,,,,7884 Rhapsody Drive,,,,11-1-2019,"8,180,000",20-11-2018,,,,Dublin,,,,,,,,Franklin,,,"6,479,644",,,,,Garden,,11-12-2018,10-12-2018,,,,Multifamily,,,,,,,,,,,7.03,,,,,,"5,656,333",,,,,,,CCRE,CCRE,,"409,966","581,905",30-11-2018 TTM,,"991,871",,,,28-12-2018,90.6,,,"6,479,644",,,,,,,,Montgomery Court,,,,,,,"406,725","581,940",31-12-2017,,"988,665",,No,117.0,,OH,,"413,266","554,419",31-12-2016,,"967,685",Fee,,,,,,,,,,,,,"1,036,126","584,022",,"615,117",,89.0,"31,094",0,"421,009",Units,,,,,,,1985,2017,43016.0
Property,0.5,,,,,,,,,,,,,,,,,,,8800 Countryside Way,,,,9-1-2019,"6,330,000",19-11-2018,,,,Douglasville,,,,,,,,Douglas,,,"4,748,706",,,,,Garden,,3-12-2018,30-11-2018,,,,Multifamily,,,,,,,,,,,7.04,,,,,,"4,145,330",,,,,,,CCRE,CCRE,,"269,665","441,312",30-11-2018 TTM,,"710,977",,,,28-12-2018,91.5,,,"4,748,706",,,,,,,,Countryside Manor,,,,,,,"268,290","417,934",31-12-2017,,"686,224",,No,82.0,,GA,,"272,785","388,418",31-12-2016,,"661,203",Fee,,,,,,,,,,,,,"726,510","428,010",,"449,802",,86.2,"21,792",0,"276,708",Units,,,,,,,1984,2017,30134.0
Property,0.4,,,,,,,,,,,,,,,,,,,3787 Willowood Drive,,,,10-1-2019,"6,200,000",21-11-2018,,,,Indianapolis,,,,,,,,Marion,,,"3,600,212",,,,,Garden,,3-12-2018,5-12-2018,,,,Multifamily,,,,,,,,,,,7.05,,,,,,"3,142,765",,,,,,,CCRE,CCRE,,"410,927","360,051",30-11-2018 TTM,,"770,978",,,,28-12-2018,89.2,,,"3,600,212",,,,,,,,Willowood East,,,,,,,"425,311","330,688",31-12-2017,,"755,999",,No,120.0,,IN,,"422,005","283,884",31-12-2016,,"705,889",Fee,,,,,,,,,,,,,"767,100","324,494",,"356,385",,79.6,"31,891",0,"410,715",Units,,,,,,,1984,2017,46235.0
Property,0.3,,,,,,,,,,,,,,,,,,,820 Hospital Road,,,,9-1-2019,"3,490,000",21-11-2018,,,,Franklin,,,,,,,,Johnson,,,"2,870,760",,,,,Garden,,29-11-2018,5-12-2018,,,,Multifamily,,,,,,,,,,,7.06,,,,,,"2,505,998",,,,,,,CCRE,CCRE,,"173,266","278,366",30-11-2018 TTM,,"451,632",,,,28-12-2018,94.1,,,"2,870,760",,,,,,,,Meadowood,,,,,,,"192,507","240,358",31-12-2017,,"432,865",,No,51.0,,IN,,"184,687","249,463",31-12-2016,,"434,150",Fee,,,,,,,,,,,,,"456,278","258,747",,"272,301",,94.8,"13,554",0,"183,977",Units,,,,,,,1982,2017,46131.0
Loan,3.3,,,,,,,,,,,,,,,,,No,6-1-2029,525 D Street Northwest,0.01448,"$1,508,666.67",0.00,24-1-2019,"60,500,000",3-12-2018,0.00030,0.00050,Springing,Quincy,,,,,,,,Grant,No,51.2,"31,000,000",149.98,,,,Data Center,Sixth,10-8-2018,7-8-2018,,6-2-2019,"8, 10",Office,0,0,,,0,Actual/360,NTT Data Services,100.0,31-12-2033,206688.0,8.0,Acquisition,Hard,0.00250,6-1-2029,51.2,"31,000,000","125,722.22",0.00,"2,277","2,584",0,"83,333",AREF,AREF,4.8000,,,,,,1.0,GI Manager L.P.,27-12-2018,6-3-2019,100.0,0,0.0,"31,000,000",120.0,120.0,,,0.00000,LO(26);DEF(90);O(4),0.00250,NTT - Quincy,,0.0,118.0,118.0,0,2.0,,,,,,,No,206688.0,Richard Magnuson,WA,0,,,,,,Fee,,,,,,,0.00119,0.00749,2.33x,,2.35x,,"4,669,874","3,515,211",11.3,"3,546,214",11.4,95.0,"31,003",0,"1,123,660",SF,0,"4,554",0,0,"333,333",,2012,,98848.0
Loan,3.2,Newks Eatery,5.1,31-8-2027,5395.0,Wellhaven Pethealth,4.7,31-8-2028,4963.0,Runners Roost,4.7,31-7-2023,4920.0,La Popular - Mexican Restaurant,4.3,28-2-2029,4500.0,No,6-3-2029,9992-10018 Commons Street,0.01448,"$1,558,550.00",0.00,22-1-2019,"49,000,000",30-10-2018,0.00030,0.00050,Springing,Lone Tree,,,,,,,,Douglas,No,61.2,"30,000,000",284.29,,,,Retail Office,Sixth,31-10-2018,31-10-2018,,6-4-2019,17,Mixed Use,0,0,,,0,Actual/360,Sprouts,23.0,30-9-2025,24244.0,9.0,Refinance,Springing,0.00250,6-3-2029,61.2,"30,000,000","129,879.17",0.00,0,0,0,0,SMC,SMC,5.1240,"1,323,203","1,856,699",30-11-2018 TTM,6.2,"3,179,902",1.0,E. Stanley Kroenke,7-2-2019,11-1-2019,84.1,0,0.0,"30,000,000",120.0,120.0,,,0.00000,LO(12);YM1(104);O(4),0.00250,Lincoln Commons,,0.0,120.0,120.0,0,0.0,"1,115,728","1,792,968",31-12-2017,6.0,"2,908,696",,No,105527.0,E. Stanley Kroenke,CO,"422,108","1,027,221","1,694,991",31-12-2016,5.6,"2,722,212",Fee,,,,,,,0.00119,0.00749,1.51x,,1.56x,,"3,835,535","2,355,482",7.9,"2,437,635",8.1,92.4,"15,829","66,324","1,397,900",SF,0,0,0,0,0,A,2018,,80124.0
Loan,3.0,,,,,,,,,,,,,,,,,No,6-2-2029,1120 West Washington Boulevard,0.01448,"$1,334,277.78",0.00,28-1-2019,"48,500,000",29-8-2018,0.00030,0.00050,Springing,Los Angeles,,,,,,,,Los Angeles,No,57.7,"28,000,000",465.07,,,,Medical,Sixth,5-9-2018,5-9-2018,,6-3-2019,,Office,0,0,,,"3,513,839",Actual/360,"HealthCarePartners,LLC",100.0,31-5-2033,60206.0,10.0,Refinance,Hard,0.00250,6-2-2029,57.7,"28,000,000","111,189.81",0.00,0,"1,003","5,017","28,247",AREF,AREF,4.7000,,,,,,1.0,Robert Hanasab,6-2-2019,6-3-2019,100.0,0,0.0,"28,000,000",120.0,120.0,"Outstanding TI/LC Reserve ($3,010,300); Outstanding Free Rent Reserve ($503,539)",5.0,0.00000,LO(25);DEF(90);O(5),0.00250,HealthCare Partners Los Angeles,,0.0,119.0,119.0,"36,124",1.0,,,,,,5-9-2018,Yes - 4,60206.0,Robert Hanasab,CA,"301,030",,,,,,Fee,,,,,,,0.00119,0.00749,2.03x,,2.09x,,"3,349,137","2,713,007",9.7,"2,785,254",9.9,95.0,"12,041","60,206","563,883",SF,0,0,0,0,"56,494",,2018,,90015.0
Loan,2.7,,,,,,,,,,,,,,,,,No,1-1-2029,8106 Calvin Hall Road,0.06198,"$1,300,525.44","$1,644,184.44",12-12-2018,"39,150,000",9-11-2018,0.00030,0.00050,Springing,Fort Mill,,,,,,,,Lancaster,No,64.8,"25,350,000",167.32,,,,Single Tenant,First,14-11-2018,14-11-2018,1-2-2022,1-2-2019,18,Office,0,0,,,0,Actual/360,"CompuCom Systems, Inc.",100.0,31-10-2032,151503.0,11.0,Acquisition,Hard,0.00250,1-1-2029,57.5,"22,508,248","108,377.12","137,015.37","2,539",0,0,"22,018",CCRE,CCRE,5.0600,"62,167","2,760,627",30-11-2018 TTM,10.9,"2,822,795",1.0,Louis J. Rogers,14-12-2018,1-3-2019,100.0,0,360.0,"25,350,000",36.0,120.0,,,0.00000,LO(26);DEF(91);O(3),0.05000,CompuCom World Headquarters,,360.0,34.0,118.0,0,2.0,,,,,,,No,151503.0,Louis J. Rogers,SC,0,,,,,,Fee,,,,,,,0.00119,0.00749,1.80x,1.42x,1.93x,1.53x,"3,149,859","2,341,471",9.2,"2,515,699",9.9,95.0,"22,725","151,503","634,160",SF,0,"22,850","113,627",0,"22,018",,2017,,29707.0
Loan,2.7,,,,,,,,,,,,,,,,,No,6-1-2029,,0.03448,"$1,356,076.44","$1,675,241.04",,"65,600,000",,0.00030,0.00050,Springing,,,,,,,,,,No,67.1,"25,000,000","45,638.95",,"20,000,000",,,Sixth,,,6-2-2024,6-2-2019,"5, 6, 7, 19",,0,0,,,"1,100,000",Actual/360,,,,,12.0,Refinance,Soft,0.00250,6-1-2029,63.7,"23,211,531","113,006.37","139,603.42","34,035","20,542",0,"44,746",CCRE,CCRE,5.3500,"3,651,318","4,129,109",30-11-2018 TTM,9.4,"7,780,427",3.0,Pinchos D. Shemano,31-12-2018,,93.2,0,360.0,"25,000,000",60.0,120.0,"Performance Holdback Reserve ($1,000,000); Flood Insurance Reserve ($100,000)",,0.00000,LO(26);DEF(91);O(3),0.02250,Stern Multifamily Portfolio,,360.0,58.0,118.0,0,2.0,,,,,,,,986.0,Pinchos D. Shemano,,0,,,,,,,,,,67.1,1.28x,9.3,0.00119,0.00749,1.58x,1.28x,1.68x,1.36x,"7,929,722","3,859,022",8.8,"4,111,166",9.3,93.9,"252,144",0,"3,818,555",Units,"567,000","227,798","358,000",0,"134,691",,,,
Property,1.1,,,,,,,,,,,,,,,,,,,11324 Hi Tower Drive,,,,12-12-2018,"27,600,000",29-10-2018,,,,Bridgeton,,,,,,,,Saint Louis,,,"10,000,000",,,,,Garden,,2-11-2018,21-11-2018,,,,Multifamily,,,,,,,,,,,12.01,,,,,,"9,284,612",,,,,,,CCRE,CCRE,,"1,359,742","1,769,347",30-11-2018 TTM,,"3,129,089",,,,30-11-2018,95.5,,,"10,000,000",,,,,,,,Cypress Village Apartments,,,,,,,,,,,,,No,330.0,,MO,,,,,,,Fee,,,,,,,,,,,,,"3,227,489","1,759,912",,"1,851,787",,94.7,"91,875",0,"1,375,702",Units,,,,,,,1967,2018,63074.0
Property,0.9,,,,,,,,,,,,,,,,,,,4616 Scott Crossing Drive,,,,20-12-2018,"21,100,000",26-10-2018,,,,Memphis,,,,,,,,Shelby,,,"8,055,556",,,,,Garden,,2-11-2018,2-11-2018,,,,Multifamily,,,,,,,,,,,12.02,,,,,,"7,479,271",,,,,,,CCRE,CCRE,,"1,070,629","1,455,436",30-11-2018 TTM,,"2,526,065",,,,30-11-2018,91.9,,,"8,055,556",,,,9.0,,,,Abington Apartments,,,,,,,,,,,,2-11-2018,Yes - 3,384.0,,TN,,,,,,,Fee,,,,,,,,,,,,,"2,532,082","1,243,823",,"1,340,192",,92.3,"96,369",0,"1,191,890",Units,,,,,,,1974,2018,38128.0
Property,0.7,,,,,,,,,,,,,,,,,,,7381 Normandie Court,,,,13-12-2018,"16,900,000",29-10-2018,,,,Hazelwood,,,,,,,,Saint Louis,,,"6,944,444",,,,,Garden,,2-11-2018,21-11-2018,,,,Multifamily,,,,,,,,,,,12.03,,,,,,"6,447,647",,,,,,,CCRE,CCRE,,"1,220,947","904,326",30-11-2018 TTM,,"2,125,273",,,,30-11-2018,92.3,,,"6,944,444",,,,,,,,The Reserve at Winding Creek,,,,,,,,,,,,,No,272.0,,MO,,,,,,,Fee,,,,,,,,,,,,,"2,170,151","855,287",,"919,187",,94.6,"63,900",0,"1,250,964",Units,,,,,,,1970,2018,63042.0
Loan,2.6,AHN Clinic,7.1,31-5-2022,7081.0,Surgcenter of Greater Phoenix,6.9,31-7-2025,6853.0,NRT Arizona LLC,4.6,31-1-2023,4558.0,Admire Plastic Surgery,2.9,30-11-2019,2917.0,No,1-1-2029,"7201, 7221, and 7231 East Princess Boulevard",0.01448,"$1,271,511.72",0.00,1-10-2018,"37,500,000",27-6-2018,0.00030,0.00050,Springing,Scottsdale,,,,,,,,Maricopa,No,65.0,"24,375,000",243.80,,,,Suburban,First,28-6-2018,2-7-2018,,1-2-2019,20,Office,5,0,19-8-2101,,"4,400,000",Actual/360,"Spear Education, LLC",73.4,31-12-2036,73406.0,13.0,Refinance,Springing,0.00250,1-1-2029,65.0,"24,375,000","105,959.31",0.00,449,"1,666","14,664","22,814",MSBNA,MSMCH,5.1450,"856,272","2,946,450",31-8-2018 TTM,12.1,"3,802,721",1.0,James S. Taylor; Mark A. Dunn; Lewis N. Wolff,11-12-2018,25-10-2018,100.0,0,0.0,"24,375,000",120.0,120.0,Expansion Reserve,,0.00000,LO(26);DEF(90);O(4),0.00250,Scottsdale Center,,0.0,118.0,118.0,0,2.0,"804,928","2,828,138",31-12-2017,11.6,"3,633,066",,No,99979.0,Mark A. Dunn; James S. Taylor; Taylor Family Trust; Alan Horn,AZ,"351,912","826,279","2,434,680",31-12-2016,10.0,"3,260,959",Leasehold,,,,,,,0.00119,0.00749,1.71x,,1.91x,,"3,419,192","2,168,868",8.9,"2,434,812",10.0,90.0,"19,996","245,948","984,380",SF,0,"2,694",0,"31,906","68,443",,2018,,85255.0
Loan,2.5,TJ Maxx,14.0,31-5-2025,24320.0,Michaels,12.5,31-5-2025,21660.0,Five Below,5.8,31-1-2027,10030.0,Rainbow,5.8,31-1-2022,10000.0,No,6-2-2029,1090-1180 and 1300-1580 Shingle Creek Crossing,0.01448,"$1,321,291.89","$1,611,889.68",29-1-2019,"39,500,000",15-1-2019,0.00030,0.00050,In Place,Brooklyn Center,,,,,,,,Hennepin,No,59.7,"23,600,000",136.33,"3,500,000",,,Anchored,Sixth,22-1-2019,22-1-2019,6-3-2022,6-3-2019,,Retail,0,0,,,"232,345",Actual/360,LA Fitness,22.0,31-1-2029,38000.0,14.0,Refinance,Hard,0.00250,6-2-2029,53.6,"21,155,518","110,107.66","134,324.14",0,"2,164","14,426","78,901",BSPRT,BSPRT,5.5220,"1,681,434","2,136,746",31-12-2018,9.1,"3,818,180",1.0,Franklin Gatlin III,4-2-2019,4-2-2019,85.9,0,360.0,"23,600,000",36.0,120.0,"Unfunded Obligations Reserve (193,341); Free Rent Reserve (39,004)",,0.00000,LO(25);DEF(91);O(4),0.00250,Shingle Creek Crossing,,360.0,35.0,119.0,0,1.0,"1,654,238","1,960,117",31-12-2017,8.3,"3,614,355",,No,173107.0,Franklin Gatlin III,MN,"600,000","1,268,364","1,786,033",31-12-2016,7.6,"3,054,397",Fee,68.6,1.05x,8.4,,,,0.00119,0.00749,1.57x,1.28x,1.72x,1.41x,"3,922,350","2,070,338",8.8,"2,269,411",9.6,86.9,"25,966","173,107","1,652,939",SF,0,0,0,0,"355,053",,2015,,55430.0
Loan,2.5,,,,,,,,,,,,,,,,,No,1-1-2029,"122 Ashland Place, 175 and 191 Willoughby Street",0.01448,"946,769.44",0.00,5-12-2018,"366,000,000",8-11-2018,0.00030,0.00050,,Brooklyn,475.0,77.0,10.3,"224,000,000",77.0,"59,678",16.2,Kings,No,6.3,"23,000,000","41,666.67",,,,Cooperative,First,19-11-2018,19-11-2018,,1-2-2019,"9, 21, 22",Multifamily,5,5,,,0,Actual/360,,,,,15.0,Refinance,,0.00250,1-1-2029,6.3,"23,000,000","78,897.45",0.00,"14,289",0,0,"90,795",MSBNA,MSMCH,4.0600,,,,,,1.0,,28-12-2018,8-11-2018,95.0,0,0.0,"23,000,000",120.0,120.0,,,0.00000,LO(26);DEF(89);O(5),0.00250,University Towers,,0.0,118.0,118.0,0,2.0,,,,,,,No,552.0,,NY,0,,,,,,Fee,,,,,,,0.00119,0.00749,10.69x,,10.84x,,"17,739,325","10,120,905",44.0,"10,258,905",44.6,95.0,"138,000",0,"7,480,420",Units,0,"142,885",0,0,"90,795",,1958,,11201.0
Loan,2.4,,,,,,,,,,,,,,,,,No,6-2-2029,,0.01448,"$1,179,020.97","$1,479,512.64",,"34,380,000",,0.00030,0.00050,Springing,,,,,,,,,,No,65.7,"22,580,000",59.56,"5,553,750",,,,Sixth,,,6-3-2023,6-3-2019,6,,0,0,,,0,Actual/360,,,,,16.0,Acquisition,Hard,0.00250,6-2-2029,59.6,"20,505,559","98,251.75","123,292.72","6,849","4,739","18,957","16,557",AREF,AREF,5.1500,"772,875","3,157,966",30-11-2018 TTM,14.0,"3,930,840",5.0,J. Kenneth Dunn,30-1-2019,,100.0,0,360.0,"22,580,000",48.0,120.0,,,0.00000,LO(25);DEF(91);O(4),0.00250,State of Kentucky Portfolio,Group B,360.0,47.0,119.0,0,1.0,"789,513","3,045,086",31-12-2017,13.5,"3,834,599",,,379135.0,J. Kenneth Dunn,,"1,500,000","851,806","2,895,548",31-12-2016,12.8,"3,747,354",,81.8,1.20x,10.8,,,,0.00119,0.00749,2.33x,1.86x,2.57x,2.05x,"3,752,392","2,744,587",12.2,"3,028,938",13.4,95.0,"56,870","227,481","723,454",SF,0,"75,344",0,"600,000","49,671",,,,
Property,1.2,Department of Public Advisory,24.4,30-6-2021,43807.0,Workforce Investment,5.8,30-6-2022,10343.0,Kentucky Workers Comp Funding Commission,4.8,30-6-2020,8697.0,Randle-Davies Construction,4.8,31-1-2022,8557.0,,,1 Mill Creek Park,,,,18-1-2019,"17,150,000",21-12-2018,,,,Frankfort,,,,,,,,Franklin,,,"11,260,000",,,,,Suburban,,28-12-2018,28-12-2018,,,,Office,,,,,,,Cabinet for Health Family Services,58.2,30-6-2022,104634.0,16.01,,,,,,"10,225,536",,,,,,,AREF,AREF,,"257,813","1,561,175",30-11-2018 TTM,,"1,818,988",,,,16-1-2019,100.0,,,"11,260,000",,,,,,,,Millcreek Office Park,,,,,,,"323,871","1,474,891",31-12-2017,,"1,798,762",,No,179648.0,,KY,,"318,364","1,463,944",31-12-2016,,"1,782,308",Fee,,,,,,,,,,,,,"1,770,172","1,336,532",,"1,471,268",,95.0,"26,947","107,789","298,904",SF,,,,,,,2007,,40601.0
Property,0.8,,,,,,,,,,,,,,,,,,,102 Athletic Drive,,,,17-1-2019,"10,910,000",21-12-2018,,,,Frankfort,,,,,,,,Franklin,,,"7,170,000",,,,,Single Tenant,,28-12-2018,27-12-2018,,,,Office,,,,,,,Cabinet for Health Family Services,100.0,30-6-2023,99458.0,16.02,,,,,,"6,511,287",,,,,,,AREF,AREF,,"470,006","1,429,334",30-11-2018 TTM,,"1,899,341",,,,6-3-2019,100.0,,,"7,170,000",,,,,,,,First City Complex,,,,,,,"426,145","1,397,180",31-12-2017,,"1,823,325",,No,99458.0,,KY,,"485,754","1,266,780",31-12-2016,,"1,752,534",Fee,,,,,,,,,,,,,"1,780,333","1,267,233",,"1,403,066",,95.0,"27,167","108,667","377,267",SF,,,,,,,1990,,40601.0
Property,0.2,Education School Nutrition,41.6,30-6-2024,20525.0,,,,,,,,,,,,,,,2 Hudson Hollow Road,,,,17-1-2019,"3,410,000",21-12-2018,,,,Frankfort,,,,,,,,Franklin,,,"2,240,000",,,,,Suburban,,28-12-2018,28-12-2018,,,,Office,,,,,,,Department of Parks,58.4,30-6-2024,28868.0,16.03,,,,,,"2,034,210",,,,,,,AREF,AREF,,,,,,,,,,16-1-2019,100.0,,,"2,240,000",,,,,,,,Hudson Hollow,,,,,,,,,,,,,No,49393.0,,KY,,,,,,,Fee,,,,,,,,,,,,,,,,,,,,,,SF,,,,,,,1987,2017,40601.0
Property,0.1,,,,,,,,,,,,,,,,,,,360 Democrat Drive,,,,18-1-2019,"1,900,000",21-12-2018,,,,Frankfort,,,,,,,,Franklin,,,"1,250,000",,,,,Single Tenant,,28-12-2018,28-12-2018,,,,Office,,,,,,,Kentucky Court of Appeals,100.0,30-6-2023,18376.0,16.04,,,,,,"1,135,162",,,,,,,AREF,AREF,,"45,055","167,457",30-11-2018 TTM,,"212,512",,,,6-3-2019,100.0,,,"1,250,000",,,,,,,,Court of Appeals,,,,,,,"39,497","173,015",31-12-2017,,"212,512",,No,18376.0,,KY,,"47,688","164,824",31-12-2016,,"212,512",Fee,,,,,,,,,,,,,"201,886","140,822",,"154,604",,95.0,"2,756","11,026","47,283",SF,,,,,,,1989,,40601.0
Property,0.1,State Risk,20.6,30-6-2020,6642.0,Kentucky Network Authority,20.6,30-6-2020,6642.0,,,,,,,,,,,209 Saint Clair Street,,,,18-1-2019,"1,010,000",21-12-2018,,,,Frankfort,,,,,,,,Franklin,,,"660,000",,,,,CBD,,28-12-2018,28-12-2018,,,,Office,,,,,,,Auditor,58.8,30-6-2024,18976.0,16.05,,,,,,"599,365",,,,,,,AREF,AREF,,,,,,,,,,16-1-2019,100.0,,,"660,000",,,,,,,,Capital City,,,,,,,,,,,,,No,32260.0,,KY,,,,,,,Fee,,,,,,,,,,,,,,,,,,,,,,SF,,,,,,,1905,2018,40601.0
Loan,2.4,The Macaluso Group,9.5,30-9-2022,19371.0,The Chadler Group,8.6,31-5-2023,17367.0,Woodmont Properties,7.8,30-6-2022,15788.0,Bederson Company LLP,7.6,31-10-2023,15500.0,No,6-2-2029,100 Passaic Avenue,0.01448,0.00,"$1,431,458.64",22-1-2019,"34,500,000",17-12-2018,0.00030,0.00050,In Place,Fairfield,,,,,,,,Essex,No,64.9,"22,391,525",110.29,"4,575,000",,,Suburban,Sixth,31-12-2018,9-1-2019,,6-3-2019,,Office,0,0,,,0,Actual/360,"Bleakley, Dwyer, Schwartz",12.1,30-4-2025,24616.0,17.0,Recapitalization,Hard,0.00250,6-2-2029,53.4,"18,428,235",0.00,"119,288.22","3,894","3,384","8,460","40,701",AREF,AREF,4.9200,"1,883,312","2,388,901",31-12-2018,10.7,"4,272,213",1.0,Joseph Romano; Jason Bogart; Accordia Realty Ventures LLC,31-1-2019,1-12-2018,86.0,0,360.0,"22,425,000",0.0,120.0,,,0.00000,LO(25);DEF(91);O(4),0.00250,Greenbrook Executive Center,,359.0,0.0,119.0,0,1.0,"1,858,319","2,209,354",31-12-2017,9.9,"4,067,673",,No,203028.0,Joseph Romano; Jason Bogart; Accordia Realty Ventures LLC,NJ,0,"1,596,639","2,325,151",31-12-2016,10.4,"3,921,791",Fee,78.2,1.19x,9.1,,,,0.00119,0.00749,,1.61x,,1.72x,"4,381,448","2,306,627",10.3,"2,456,868",11.0,86.5,"48,727","101,514","1,924,580",SF,"6,125","7,787",0,"2,750,000","81,402",,1988,2018,7004.0
